home_team,away_team,home_score,away_score,home_xg,away_xg,result,home_shots,away_shots,home_corners,away_corners,home_pk_goal,away_pk_goal,home_pk_shots,away_pk_shots,home_top,goal_difference
PRO,MAN,1,1,1.63,0.34,0,17,8,5,4,0,0,0,0,0.53,0
FOR,LEX,1,0,0.98,0.9,1,9,11,5,2,0,0,0,0,0.57,1
SJU,DES,1,2,1.23,1.11,-1,16,9,6,7,0,0,0,0,0.47,-1
FAR,ANC,0,1,2.27,1.08,-1,4,14,8,3,0,0,0,0,0.51,-1
DOV,BAK,0,0,1.9,0.56,0,17,6,5,3,0,0,0,0,0.53,0
ALB,LAR,1,1,0.62,0.78,0,11,17,9,4,0,0,0,0,0.54,0
SAS,MOB,0,0,0.75,0.38,0,14,12,7,6,0,0,0,0,0.44,0
CHM,EUG,0,0,1.54,1.18,0,11,3,8,0,0,0,0,0,0.57,0
TOL,JAC,1,2,1.2,1.2,-1,17,20,6,4,0,0,0,0,0.49,-1
REN,OAK,1,1,0.7,0.17,0,7,7,4,6,0,0,0,0,0.57,0
SFS,AUG,1,1,1.34,1.2,0,6,11,2,1,0,0,0,0,0.54,0
TUC,BOI,1,5,1.06,2.09,-1,17,14,7,7,0,0,1,1,0.53,-4
LRO,TAC,1,1,2.17,0.23,0,13,5,8,5,0,0,0,1,0.44,0
ANC,LRO,1,0,1.74,1.0,1,17,9,4,5,0,0,0,0,0.36,1
WIC,CHM,1,1,1.29,0.91,0,16,11,13,4,0,0,0,0,0.46,0
LAR,SAS,2,1,1.88,0.32,1,18,3,3,2,0,0,0,0,0.48,1
LEX,SJU,0,0,0.49,0.28,0,12,9,3,5,0,0,0,0,0.49,0
TAC,TUC,1,3,0.9,2.11,-1,18,18,7,10,0,0,0,0,0.58,-2
DES,SFS,2,2,1.42,0.87,0,20,10,6,8,0,0,0,1,0.49,0
BAK,OAK,1,2,1.27,1.64,-1,9,20,2,3,0,0,0,0,0.55,-1
EUG,AUG,2,1,1.16,1.44,1,10,11,5,5,0,0,0,0,0.53,1
MAN,TOL,3,1,0.67,1.53,1,19,18,9,9,0,0,0,0,0.53,2
JAC,DOV,2,3,1.01,2.42,-1,7,17,5,5,0,0,0,0,0.65,-1
MOB,SPR,1,0,1.42,0.7,1,15,6,6,4,0,0,1,1,0.67,1
BOI,REN,1,1,2.21,0.78,0,24,9,10,0,0,0,0,0,0.48,0
FOR,PRO,1,2,2.05,0.77,-1,17,14,2,2,0,0,0,0,0.58,-1
FAR,ALB,3,2,2.26,1.16,1,17,10,8,6,0,0,1,0,0.69,1
ALB,FOR,2,2,1.04,1.25,0,15,12,1,2,0,0,0,0,0.39,0
SJU,MAN,1,2,2.31,2.1,-1,19,20,4,3,0,0,1,0,0.55,-1
TOL,LEX,1,1,2.18,1.27,0,22,9,6,4,0,0,0,0,0.69,0
REN,SFS,0,1,1.5,0.83,-1,18,10,4,7,0,0,0,0,0.37,-1
PRO,FAR,3,1,1.61,1.16,1,16,19,9,2,0,0,0,0,0.47,2
AUG,JAC,0,2,1.63,1.16,-1,9,8,2,2,0,0,0,0,0.51,-2
SAS,OAK,0,2,0.29,0.99,-1,10,15,2,2,0,0,0,0,0.57,-2
LAR,BOI,3,0,2.03,0.5,1,14,7,4,5,0,0,0,0,0.5,3
DOV,WIC,0,2,1.11,1.34,-1,9,13,7,4,0,0,0,0,0.31,-2
ANC,TAC,3,1,3.05,0.81,1,17,5,6,1,0,0,1,1,0.44,2
